%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1780307460100231830,0.0,0.0,0.0,0.0,0.0,0.0
1780307465112486436,0.0,0.0,0.0,0.0,0.0,0.0
1780307470518405656,0.0,0.0,0.0,0.0,0.0,0.0
1780307475711802016,0.0,0.0,0.0,0.0,0.0,0.0
1780307475897682564,0.0,0.0,0.0,0.0,0.0,1.0
1780307475947908740,0.0,0.0,0.0,0.0,0.0,1.0
1780307475997756316,0.0,0.0,0.0,0.0,0.0,1.0
1780307476048465940,0.0,0.0,0.0,0.0,0.0,1.0
1780307476097686055,0.0,0.0,0.0,0.0,0.0,1.0
1780307476147853949,0.0,0.0,0.0,0.0,0.0,1.0
1780307476198385861,0.0,0.0,0.0,0.0,0.0,1.0
1780307476247917493,0.0,0.0,0.0,0.0,0.0,1.0
1780307476297840070,0.0,0.0,0.0,0.0,0.0,1.0
1780307476348366200,0.0,0.0,0.0,0.0,0.0,1.0
1780307476398842226,0.0,0.0,0.0,0.0,0.0,1.0
1780307476461019948,0.0,0.0,0.0,0.0,0.0,1.0
1780307476497698922,0.0,0.0,0.0,0.0,0.0,1.0
1780307476548628343,0.0,0.0,0.0,0.0,0.0,1.0
1780307476597956636,0.0,0.0,0.0,0.0,0.0,1.0
1780307476648601155,0.0,0.0,0.0,0.0,0.0,1.0
1780307476698630609,0.0,0.0,0.0,0.0,0.0,1.0
1780307476748420475,0.0,0.0,0.0,0.0,0.0,1.0
1780307476797869136,0.0,0.0,0.0,0.0,0.0,1.0
1780307476848329484,0.0,0.0,0.0,0.0,0.0,1.0
1780307476898158674,0.0,0.0,0.0,0.0,0.0,1.0
1780307476947951769,0.0,0.0,0.0,0.0,0.0,1.0
1780307476998299355,0.0,0.0,0.0,0.0,0.0,1.0
1780307477049405549,0.0,0.0,0.0,0.0,0.0,1.0
1780307477103888167,0.0,0.0,0.0,0.0,0.0,1.0
1780307477148253547,0.0,0.0,0.0,0.0,0.0,1.0
1780307477197692989,0.0,0.0,0.0,0.0,0.0,1.0
1780307477253543916,0.0,0.0,0.0,0.0,0.0,1.0
1780307477297830337,0.0,0.0,0.0,0.0,0.0,1.0
1780307477348091566,0.0,0.0,0.0,0.0,0.0,1.0
1780307477399419120,0.0,0.0,0.0,0.0,0.0,1.0
1780307477448978408,0.0,0.0,0.0,0.0,0.0,1.0
1780307477498377953,0.0,0.0,0.0,0.0,0.0,1.0
1780307477547688486,0.0,0.0,0.0,0.0,0.0,1.0
1780307477598308994,0.0,0.0,0.0,0.0,0.0,1.0
1780307477647814636,0.0,0.0,0.0,0.0,0.0,1.0
1780307477697886174,0.0,0.0,0.0,0.0,0.0,1.0
1780307477748269333,0.0,0.0,0.0,0.0,0.0,1.0
1780307477798131232,0.0,0.0,0.0,0.0,0.0,1.0
1780307477850501358,0.0,0.0,0.0,0.0,0.0,1.0
1780307477900185909,0.0,0.0,0.0,0.0,0.0,1.0
1780307477947733490,0.0,0.0,0.0,0.0,0.0,1.0
1780307478000371070,0.0,0.0,0.0,0.0,0.0,1.0
1780307478054534254,0.0,0.0,0.0,0.0,0.0,1.0
1780307478099615274,0.0,0.0,0.0,0.0,0.0,1.0
1780307478153068392,0.0,0.0,0.0,0.0,0.0,1.0
1780307478199019690,0.0,0.0,0.0,0.0,0.0,1.0
1780307478249052217,0.0,0.0,0.0,0.0,0.0,1.0
1780307478297789822,0.0,0.0,0.0,0.0,0.0,1.0
1780307478347768077,0.0,0.0,0.0,0.0,0.0,1.0
1780307478397597892,0.0,0.0,0.0,0.0,0.0,1.0
1780307478448714347,0.0,0.0,0.0,0.0,0.0,1.0
1780307478497729770,0.0,0.0,0.0,0.0,0.0,1.0
1780307478548664399,0.0,0.0,0.0,0.0,0.0,1.0
1780307478601073484,0.0,0.0,0.0,0.0,0.0,1.0
1780307478649689681,0.0,0.0,0.0,0.0,0.0,1.0
1780307478701251353,0.0,0.0,0.0,0.0,0.0,1.0
1780307478753296838,0.0,0.0,0.0,0.0,0.0,1.0
1780307478798965110,0.0,0.0,0.0,0.0,0.0,1.0
1780307478848982272,0.0,0.0,0.0,0.0,0.0,1.0
1780307478900948484,0.0,0.0,0.0,0.0,0.0,1.0
1780307478947913865,0.0,0.0,0.0,0.0,0.0,1.0
1780307479016660835,0.0,0.0,0.0,0.0,0.0,1.0
1780307479051722172,0.0,0.0,0.0,0.0,0.0,1.0
1780307479126004515,0.0,0.0,0.0,0.0,0.0,1.0
1780307479149294468,0.0,0.0,0.0,0.0,0.0,1.0
1780307479198316453,0.0,0.0,0.0,0.0,0.0,1.0
1780307479251533420,0.0,0.0,0.0,0.0,0.0,1.0
1780307479297462426,0.0,0.0,0.0,0.0,0.0,1.0
1780307479350402877,0.0,0.0,0.0,0.0,0.0,1.0
1780307479399723723,0.0,0.0,0.0,0.0,0.0,1.0
1780307479448879670,0.0,0.0,0.0,0.0,0.0,1.0
1780307479499202150,0.0,0.0,0.0,0.0,0.0,1.0
1780307479552159737,0.0,0.0,0.0,0.0,0.0,1.0
1780307479597370864,0.0,0.0,0.0,0.0,0.0,1.0
1780307479647596155,0.0,0.0,0.0,0.0,0.0,1.0
1780307479697581077,0.0,0.0,0.0,0.0,0.0,1.0
1780307479748650448,0.0,0.0,0.0,0.0,0.0,1.0
1780307479797763998,0.0,0.0,0.0,0.0,0.0,1.0
1780307479848428413,0.0,0.0,0.0,0.0,0.0,1.0
1780307479898047598,0.0,0.0,0.0,0.0,0.0,1.0
1780307479947684544,0.0,0.0,0.0,0.0,0.0,1.0
1780307479998187602,0.0,0.0,0.0,0.0,0.0,1.0
1780307480048160336,0.0,0.0,0.0,0.0,0.0,1.0
1780307480097918899,0.0,0.0,0.0,0.0,0.0,1.0
1780307480148826548,0.0,0.0,0.0,0.0,0.0,1.0
1780307480200969483,0.0,0.0,0.0,0.0,0.0,1.0
1780307480271227108,0.0,0.0,0.0,0.0,0.0,1.0
1780307480299402681,0.0,0.0,0.0,0.0,0.0,1.0
1780307480349406770,0.0,0.0,0.0,0.0,0.0,1.0
1780307480397284670,0.0,0.0,0.0,0.0,0.0,1.0
1780307480447930751,0.0,0.0,0.0,0.0,0.0,1.0
1780307480497287014,0.0,0.0,0.0,0.0,0.0,1.0
1780307480548783581,0.0,0.0,0.0,0.0,0.0,1.0
1780307480598762670,0.0,0.0,0.0,0.0,0.0,1.0
