%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1780310981352623381,0.0,0.0,0.0,0.0,0.0,0.0
1780310986392827484,0.0,0.0,0.0,0.0,0.0,0.0
1780310991587485536,0.0,0.0,0.0,0.0,0.0,0.0
1780310991755666167,0.0,0.0,0.0,0.0,0.0,1.0
1780310991805594160,0.0,0.0,0.0,0.0,0.0,1.0
1780310991859861595,0.0,0.0,0.0,0.0,0.0,1.0
1780310991904252352,0.0,0.0,0.0,0.0,0.0,1.0
1780310991954835362,0.0,0.0,0.0,0.0,0.0,1.0
1780310992007238944,0.0,0.0,0.0,0.0,0.0,1.0
1780310992054365140,0.0,0.0,0.0,0.0,0.0,1.0
1780310992103490611,0.0,0.0,0.0,0.0,0.0,1.0
1780310992155842576,0.0,0.0,0.0,0.0,0.0,1.0
1780310992203405191,0.0,0.0,0.0,0.0,0.0,1.0
1780310992253339330,0.0,0.0,0.0,0.0,0.0,1.0
1780310992303499985,0.0,0.0,0.0,0.0,0.0,1.0
1780310992354342013,0.0,0.0,0.0,0.0,0.0,1.0
1780310992405162634,0.0,0.0,0.0,0.0,0.0,1.0
1780310992454879423,0.0,0.0,0.0,0.0,0.0,1.0
1780310992504373289,0.0,0.0,0.0,0.0,0.0,1.0
1780310992553546729,0.0,0.0,0.0,0.0,0.0,1.0
1780310992629602683,0.0,0.0,0.0,0.0,0.0,1.0
1780310992662245042,0.0,0.0,0.0,0.0,0.0,1.0
1780310992711736304,0.0,0.0,0.0,0.0,0.0,1.0
1780310992755674652,0.0,0.0,0.0,0.0,0.0,1.0
1780310992808169121,0.0,0.0,0.0,0.0,0.0,1.0
1780310992858295453,0.0,0.0,0.0,0.0,0.0,1.0
1780310992903920253,0.0,0.0,0.0,0.0,0.0,1.0
1780310992955108593,0.0,0.0,0.0,0.0,0.0,1.0
1780310993004778245,0.0,0.0,0.0,0.0,0.0,1.0
1780310993056975571,0.0,0.0,0.0,0.0,0.0,1.0
1780310993104321357,0.0,0.0,0.0,0.0,0.0,1.0
1780310993170321616,0.0,0.0,0.0,0.0,0.0,1.0
1780310993211569473,0.0,0.0,0.0,0.0,0.0,1.0
1780310993262181443,0.0,0.0,0.0,0.0,0.0,1.0
1780310993306380371,0.0,0.0,0.0,0.0,0.0,1.0
1780310993354072312,0.0,0.0,0.0,0.0,0.0,1.0
1780310993409107217,0.0,0.0,0.0,0.0,0.0,1.0
1780310993453826784,0.0,0.0,0.0,0.0,0.0,1.0
1780310993510130578,0.0,0.0,0.0,0.0,0.0,1.0
1780310993553374688,0.0,0.0,0.0,0.0,0.0,1.0
1780310993605664933,0.0,0.0,0.0,0.0,0.0,1.0
1780310993655510475,0.0,0.0,0.0,0.0,0.0,1.0
1780310993703441277,0.0,0.0,0.0,0.0,0.0,1.0
1780310993775615695,0.0,0.0,0.0,0.0,0.0,1.0
1780310993803448979,0.0,0.0,0.0,0.0,0.0,1.0
1780310993854160541,0.0,0.0,0.0,0.0,0.0,1.0
1780310993903851507,0.0,0.0,0.0,0.0,0.0,1.0
1780310993962202148,0.0,0.0,0.0,0.0,0.0,1.0
1780310994007573537,0.0,0.0,0.0,0.0,0.0,1.0
1780310994065186401,0.0,0.0,0.0,0.0,0.0,1.0
1780310994103569143,0.0,0.0,0.0,0.0,0.0,1.0
1780310994368105065,0.0,0.0,0.0,0.0,0.0,0.0
1780310994563058582,0.0,0.0,0.0,0.0,0.0,0.0
1780310995217520967,-0.00416199524149,0.00971451495693,0.0,0.0,0.0,0.204886539041
1780310995437001913,-0.00465960628883,0.0108574672868,0.0,0.0,0.0,0.216599790117
1780310995636329123,-0.00631624774629,0.0146853614618,0.0,0.0,0.0,0.224550312318
1780310995814561117,-0.00765438158367,0.017464597775,0.0,0.0,0.0,0.224482192252
1780310996020853484,-0.0117561361018,0.0270390762743,0.0,0.0,0.0,0.222722876089
1780310996209820044,-0.0245366595499,0.0588888162733,0.0,0.0,0.0,0.216326820695
1780310996424128373,-0.0468454125813,0.105512312352,0.0,0.0,0.0,0.204890097663
1780310996626610498,-0.071199055114,0.125530231225,0.0,0.0,0.0,0.195274743953
1780310996813260338,-0.0830348925303,0.138860527915,0.0,0.0,0.0,0.188346094427
1780310997014024039,-0.100826247964,0.165444261622,0.0,0.0,0.0,0.211456492735
1780310997211246618,-0.101237968341,0.181816149196,0.0,0.0,0.0,0.245043323441
1780310997406235345,-0.101921736518,0.19950128485,0.0,0.0,0.0,0.263582186296
1780310997633127500,-0.102285373086,0.228257235155,0.0,0.0,0.0,0.355376895048
1780310997818246941,-0.102042633446,0.256251268278,0.0,0.0,0.0,0.4
1780310998034886261,-0.100963467423,0.249673932374,0.0,0.0,0.0,0.4
1780310998215638051,-0.0898292341874,0.252906060042,0.0,0.0,0.0,0.4
1780310998405814742,-0.0676512661119,0.282804860011,0.0,0.0,0.0,0.4
1780310998602636219,-0.0433960912242,0.314697459046,0.0,0.0,0.0,0.4
1780310998818904749,-0.00186680736721,0.359034838461,0.0,0.0,0.0,0.4
1780310999020694983,0.027875338287,0.408526899834,0.0,0.0,0.0,0.4
1780310999195013399,0.0767377405555,0.421350078354,0.0,0.0,0.0,0.4
1780310999402947939,0.146331285889,0.499168160423,0.0,0.0,0.0,0.4
1780310999603802631,0.185573165215,0.5,0.0,0.0,0.0,0.4
1780310999814064359,0.280288884107,0.5,0.0,0.0,0.0,0.4
1780311000010875470,0.324748148635,0.5,0.0,0.0,0.0,0.374398063011
1780311000198876122,0.399522355419,0.5,0.0,0.0,0.0,0.316949161771
1780311000389730849,0.470153124136,0.5,0.0,0.0,0.0,0.179400803144
1780311000594690426,0.473640173503,0.5,0.0,0.0,0.0,0.143131155345
1780311000815067590,0.476878099084,0.5,0.0,0.0,0.0,0.0222328863783
1780311001011155196,0.484820032085,0.5,0.0,0.0,0.0,0.044947457835
1780311001202329774,0.486710775632,0.5,0.0,0.0,0.0,-0.0978921969671
1780311001651076627,0.247622035431,0.236506828179,0.0,0.0,0.0,0.351519362458
1780311001876287442,0.255851968321,0.217106792335,0.0,0.0,0.0,0.29540842711
1780311002036189543,0.301071118991,0.255470430811,0.0,0.0,0.0,0.308781434929
1780311002150388008,0.241448558885,0.24217486135,0.0,0.0,0.0,0.364677777053
1780311002298158897,0.199387253041,0.182254431798,0.0,0.0,0.0,0.4
1780311002461081274,0.171754933467,0.13772190535,0.0,0.0,0.0,0.4
1780311002666581436,0.148292283752,0.0987991471442,0.0,0.0,0.0,0.4
1780311002850196052,0.115796070137,0.0938717046038,0.0,0.0,0.0,0.4
1780311003059999905,0.114649859586,0.0423362695488,0.0,0.0,0.0,0.4
1780311003285613281,0.11820107344,0.0330106981904,0.0,0.0,0.0,0.4
1780311003447060000,0.11549119365,0.0160955906074,0.0,0.0,0.0,0.4
1780311003687586838,0.10562560476,0.0121746157606,0.0,0.0,0.0,0.4
1780311003847547066,0.109284594094,-0.00891804005054,0.0,0.0,0.0,0.4
1780311004079916845,0.108809446574,-0.00722796182035,0.0,0.0,0.0,0.4
1780311004235049723,0.101138212825,-0.0240509989646,0.0,0.0,0.0,0.394236962143
1780311004431060192,0.0998313151692,-0.0282171287276,0.0,0.0,0.0,0.4
1780311004638910667,0.100375601368,-0.0428907742772,0.0,0.0,0.0,0.4
1780311004823438949,0.101826242065,-0.0358232959826,0.0,0.0,0.0,0.4
1780311005025014126,0.0929392851487,-0.0569001314259,0.0,0.0,0.0,0.4
1780311005209829811,0.0849794103674,-0.065151569182,0.0,0.0,0.0,0.4
1780311005415057987,0.07409388183,-0.0776940474106,0.0,0.0,0.0,0.4
1780311005614913021,0.0603567416875,-0.0820969757771,0.0,0.0,0.0,0.4
1780311005833651607,0.0504101795929,-0.0902063901523,0.0,0.0,0.0,0.4
1780311005990273634,0.0359006069331,-0.099406789604,0.0,0.0,0.0,0.4
1780311006154547292,0.0,0.0,0.0,0.0,0.0,0.0
1780311006354867181,0.0,0.0,0.0,0.0,0.0,0.0
1780311006563273606,0.0,0.0,0.0,0.0,0.0,0.0
1780311006756743079,0.0,0.0,0.0,0.0,0.0,0.0
1780311006973079996,0.0,0.0,0.0,0.0,0.0,0.0
1780311007213746786,-0.00163236088697,-0.0760050703816,0.0,0.0,0.0,0.232703718263
1780311007400221258,0.00640132172667,-0.0790923236827,0.0,0.0,0.0,0.228786213531
1780311007597156330,0.00645518351605,-0.0795260123208,0.0,0.0,0.0,0.227895680203
1780311007810330884,0.00647690327444,-0.079623248913,0.0,0.0,0.0,0.227600106063
1780311007990609539,0.00648215200897,-0.0796189288365,0.0,0.0,0.0,0.227477342954
1780311008220967450,0.474105810388,0.156182094835,0.0,0.0,0.0,0.4
1780311008424781532,0.15051555571,-0.0669218993745,0.0,0.0,0.0,0.167128456145
1780311008603846982,0.0933461287794,-0.0962000569061,0.0,0.0,0.0,0.4
1780311008829970943,0.0900373916531,-0.110293763645,0.0,0.0,0.0,0.4
1780311009008307366,0.038643082493,-0.0896164330464,0.0,0.0,0.0,0.4
1780311009195813841,-0.00700280242461,-0.119296158291,0.0,0.0,0.0,0.4
1780311009363475700,0.0,0.0,0.0,0.0,0.0,0.0
1780311009555170498,0.0,0.0,0.0,0.0,0.0,0.0
1780311009757940234,0.0,0.0,0.0,0.0,0.0,0.0
1780311009957289840,0.0,0.0,0.0,0.0,0.0,0.0
1780311010155386918,0.0,0.0,0.0,0.0,0.0,0.0
1780311010360677544,0.0,0.0,0.0,0.0,0.0,0.0
1780311010555624967,0.0,0.0,0.0,0.0,0.0,0.0
1780311010764304993,0.0,0.0,0.0,0.0,0.0,0.0
1780311010989545809,-0.114128821627,-0.11575238104,0.0,0.0,0.0,0.137700468208
1780311011189677203,-0.113936081465,-0.115457066036,0.0,0.0,0.0,0.137032703998
1780311011396392341,-0.113918536336,-0.115363679397,0.0,0.0,0.0,0.136986548576
1780311011586455279,-0.112471359572,-0.0902092905752,0.0,0.0,0.0,0.0894738913667
1780311011796792998,-0.111954303579,-0.103699786141,0.0,0.0,0.0,0.185276539391
1780311011982431721,-0.109354785942,-0.103316943946,0.0,0.0,0.0,0.320351945799
1780311012200916291,-0.107262863304,-0.0600740130253,0.0,0.0,0.0,0.353573066323
1780311012408848539,-0.101765633705,0.00749637821286,0.0,0.0,0.0,0.382775865884
1780311012577561151,-0.100322384247,0.0357716067489,0.0,0.0,0.0,0.4
1780311012770914529,-0.0856133824238,0.0539147149444,0.0,0.0,0.0,0.4
1780311012969440470,-0.069116386204,0.0710063858602,0.0,0.0,0.0,0.4
1780311013155981610,0.0,0.0,0.0,0.0,0.0,0.0
1780311013356232070,0.0,0.0,0.0,0.0,0.0,0.0
1780311013557929750,0.0,0.0,0.0,0.0,0.0,0.0
1780311013756749189,0.0,0.0,0.0,0.0,0.0,0.0
1780311013955511021,0.0,0.0,0.0,0.0,0.0,0.0
1780311014161372129,-0.0333649729211,0.0659319770992,0.0,0.0,0.0,0.254390375351
1780311014362262707,-0.0347467689385,0.067577080291,0.0,0.0,0.0,0.245681427897
1780311014560069674,-0.0345671579009,0.0682345044751,0.0,0.0,0.0,0.243699423793
1780311014766106932,-0.0345819107488,0.0682962698824,0.0,0.0,0.0,0.243185630795
1780311014963916035,-0.0344496723162,0.0680980359552,0.0,0.0,0.0,0.243071058472
1780311015174834704,-0.0441981359598,0.090040759282,0.0,0.0,0.0,0.363884378031
1780311015358168688,-0.0366427504016,0.0991164234877,0.0,0.0,0.0,0.4
1780311015554021809,0.0,0.0,0.0,0.0,0.0,0.0
1780311015765074597,0.0,0.0,0.0,0.0,0.0,0.0
1780311015953967196,0.0,0.0,0.0,0.0,0.0,0.0
1780311016161057394,0.0,0.0,0.0,0.0,0.0,0.0
1780311016360293352,0.0,0.0,0.0,0.0,0.0,0.0
1780311017010128132,0.00539698209886,0.00473265743204,0.0,0.0,0.0,0.261341299849
1780311017202621281,0.0101419679919,0.00828005482539,0.0,0.0,0.0,0.265174997843
1780311017356846483,0.0181870969193,0.0246803880377,0.0,0.0,0.0,0.259473119651
1780311017504130174,0.0237491310307,0.0593649154167,0.0,0.0,0.0,0.248113467195
1780311017680196962,0.0426594222416,0.0971210493502,0.0,0.0,0.0,0.234920359771
1780311017879479640,0.0569506809433,0.134075126584,0.0,0.0,0.0,0.221889163968
1780311018055821383,0.0789870685087,0.179961709308,0.0,0.0,0.0,0.201760063129
1780311018259000242,0.0946831460088,0.164015261669,0.0,0.0,0.0,0.281688954034
1780311018517489101,0.1402517234,0.198825501704,0.0,0.0,0.0,0.4
1780311018729336385,0.148729978495,0.230493498027,0.0,0.0,0.0,0.4
1780311018907800885,0.234208638372,0.235510570176,0.0,0.0,0.0,0.4
1780311019460824572,0.00426263648681,0.0154913246764,0.0,0.0,0.0,0.4
1780311019464271994,0.0,0.0,0.0,0.0,0.0,0.0
1780311019662604285,0.0,0.0,0.0,0.0,0.0,0.0
1780311019860838918,0.0,0.0,0.0,0.0,0.0,0.0
1780311020077955228,0.0,0.0,0.0,0.0,0.0,0.0
1780311020265027942,0.0,0.0,0.0,0.0,0.0,0.0
1780311020463832901,0.0,0.0,0.0,0.0,0.0,0.0
1780311020664260917,0.0,0.0,0.0,0.0,0.0,0.0
1780311020860863170,0.0,0.0,0.0,0.0,0.0,0.0
1780311021267685847,0.0886762616771,0.110968022312,0.0,0.0,0.0,0.262935703212
1780311021405160566,0.192212941392,0.196141795415,0.0,0.0,0.0,0.217367232577
1780311021612798849,0.188858019083,0.175149527476,0.0,0.0,0.0,0.174078428255
