%time,field.header.seq,field.header.stamp,field.header.frame_id
1780310971528065779,281,1780310971446661814,
1780310971648679160,282,1780310971648256492,
1780310971849227976,283,1780310971846659051,
1780310972047109583,284,1780310972046669519,
1780310972246957026,285,1780310972246656653,
1780310972446942233,286,1780310972446665558,
1780310972647245104,287,1780310972646729778,
1780310972847200102,288,1780310972846695505,
1780310973047400940,289,1780310973046667482,
1780310973247243122,290,1780310973246693159,
1780310973447024469,291,1780310973446664771,
1780310973647105199,292,1780310973646654353,
1780310973847124730,293,1780310973846726385,
1780310974048467630,294,1780310974048075328,
1780310974246942327,295,1780310974246620703,
1780310974446983629,296,1780310974446660651,
1780310974648204443,297,1780310974646666796,
1780310974851696465,298,1780310974846737682,
1780310975046981021,299,1780310975046654554,
1780310975248392101,300,1780310975247974485,
1780310975447019822,301,1780310975446655281,
1780310975647179773,302,1780310975646698666,
1780310975848805807,303,1780310975848227509,
1780310976047097165,304,1780310976046753405,
1780310976248621893,305,1780310976246730487,
1780310976447286178,306,1780310976446766164,
1780310976647520454,307,1780310976646980283,
1780310976847211226,308,1780310976846845539,
1780310977048726839,309,1780310977046664178,
1780310977246952050,310,1780310977246637197,
1780310977447255755,311,1780310977446682822,
1780310977647064499,312,1780310977646660425,
1780310977847191063,313,1780310977846667091,
1780310978047074444,314,1780310978046729852,
1780310978246970534,315,1780310978246657974,
1780310978447833994,316,1780310978446990013,
1780310978647536485,317,1780310978646738286,
1780310978846957926,318,1780310978846657606,
1780310979047036365,319,1780310979046683282,
1780310979246978289,320,1780310979246672135,
1780310979446954017,321,1780310979446649894,
1780310979647510437,322,1780310979646659997,
1780310979847129748,323,1780310979846662861,
1780310980047085319,324,1780310980046671974,
1780310980247082609,325,1780310980246668640,
1780310980447034847,326,1780310980446657857,
1780310980647145578,327,1780310980646692909,
1780310980847235787,328,1780310980846783431,
1780310981048615564,329,1780310981046696344,
1780310981247064739,330,1780310981246669520,
1780310981352662236,331,1780310981351559654,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310981447048018,332,1780310981446676967,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310981647100102,333,1780310981646655194,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310981847000567,334,1780310981846664516,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310982048832752,335,1780310982046745455,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310982246964210,336,1780310982246645034,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310982446957385,337,1780310982446656908,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310982647557765,338,1780310982646676335,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310982847052802,339,1780310982846678730,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310983047034207,340,1780310983046653103,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310983246964985,341,1780310983246656800,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310983447232179,342,1780310983446672059,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310983646958108,343,1780310983646641849,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310983848267987,344,1780310983846668255,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310984047110297,345,1780310984046682994,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310984247055816,346,1780310984246676638,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310984447819377,347,1780310984447476972,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310984648425330,348,1780310984648003287,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310984847025447,349,1780310984846673093,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310985047026696,350,1780310985046672519,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310985247040445,351,1780310985246675799,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310985447071799,352,1780310985446664496,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310985647178415,353,1780310985646663089,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310985846965752,354,1780310985846656264,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310986047207060,355,1780310986046746787,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310986247051273,356,1780310986246666054,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310986447081116,357,1780310986446662147,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310986647615140,358,1780310986646695636,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310986847004029,359,1780310986846665426,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310987046992986,360,1780310987046651935,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310987247090800,361,1780310987246705789,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310987447113247,362,1780310987446696934,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310987647154497,363,1780310987646682453,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310987847217414,364,1780310987846664430,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310988048888449,365,1780310988046777974,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310988246986156,366,1780310988246655053,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310988447834147,367,1780310988447438459,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310988650237025,368,1780310988648701305,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310988847057300,369,1780310988846674946,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310989047139176,370,1780310989046662236,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310989250201083,371,1780310989246665204,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310989447059016,372,1780310989446664734,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310989647081046,373,1780310989646735985,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310989846981928,374,1780310989846662492,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310990046965676,375,1780310990046660772,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310990246951821,376,1780310990246649885,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310990446967810,377,1780310990446650301,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310990647006455,378,1780310990646669988,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310990850403111,379,1780310990847467665,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310991048684885,380,1780310991046667225,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310991250069349,381,1780310991246662745,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310991447075776,382,1780310991446656545,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310991647685687,383,1780310991647036242,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310991847583392,384,1780310991846675710,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310992047820585,385,1780310992047252236,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310992247013426,386,1780310992246655864,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310992447578649,387,1780310992447047749,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310992651742512,388,1780310992647788549,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310992848279395,389,1780310992846655496,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310993048244185,390,1780310993046658047,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310993250267937,391,1780310993246777841,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310993447214518,392,1780310993446671274,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310993647084410,393,1780310993646678461,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310993847064860,394,1780310993846666883,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310994051110458,395,1780310994046669368,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310994248912581,396,1780310994246673468,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310994448734490,397,1780310994448023276,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310994647532469,398,1780310994646671981,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310994846997130,399,1780310994846659154,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310995047366968,400,1780310995046666327,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310995247106218,401,1780310995246684490,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310995449026768,402,1780310995446823073,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310995649126548,403,1780310995646705764,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310995847018308,404,1780310995846653873,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310996047146109,405,1780310996046658130,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310996247036613,406,1780310996246619677,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310996448120894,407,1780310996447630883,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310996647051845,408,1780310996646659909,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310996847178969,409,1780310996846661197,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310997051942916,410,1780310997046699413,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310997246955654,411,1780310997246654970,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310997446961577,412,1780310997446701050,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310997646997657,413,1780310997646660462,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310997846978267,414,1780310997846654614,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310998047032681,415,1780310998046669496,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310998247376997,416,1780310998246914591,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310998446990568,417,1780310998446662852,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310998646894301,418,1780310998646661275,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310998847213721,419,1780310998846706418,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310999046986045,420,1780310999046656715,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310999247618024,421,1780310999247269214,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310999447184771,422,1780310999446695593,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310999647018138,423,1780310999646709746,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780310999849533597,424,1780310999846999790,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311000047070663,425,1780311000046728624,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311000247152004,426,1780311000246693088,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311000447076363,427,1780311000446677396,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311000647877512,428,1780311000647317083,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311000846988884,429,1780311000846645439,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311001047299762,430,1780311001046661102,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311001247103389,431,1780311001246672911,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311001449451188,432,1780311001448997324,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311001647182841,433,1780311001646672101,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311001847080637,434,1780311001846687191,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311002047357504,435,1780311002046745927,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311002250551155,436,1780311002250039581,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311002447110334,437,1780311002446677251,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311002647145424,438,1780311002646700831,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311002847160619,439,1780311002846655086,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311003048842934,440,1780311003048441206,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311003250377798,441,1780311003246669797,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311003447815746,442,1780311003447384799,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311003647104257,443,1780311003646668779,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311003847033408,444,1780311003846671525,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311004047088187,445,1780311004046649531,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311004247080047,446,1780311004246672329,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311004447218681,447,1780311004446660336,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311004647684146,448,1780311004646979182,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311004847987628,449,1780311004846727964,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311005047010404,450,1780311005046664146,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311005248786576,451,1780311005246733092,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311005447148399,452,1780311005446723598,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311005647487455,453,1780311005646702489,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311005847045556,454,1780311005846655807,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311006047118303,455,1780311006046668814,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311006249960540,456,1780311006249055624,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311006447237340,457,1780311006446677900,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311006647145917,458,1780311006646664864,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311006847194341,459,1780311006846679746,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311007047058230,460,1780311007046666137,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311007246930400,461,1780311007246656696,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311007447810561,462,1780311007446714235,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311007647066572,463,1780311007646666042,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311007847081870,464,1780311007846664621,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311008047161806,465,1780311008046714191,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311008247032517,466,1780311008246659749,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311008446998388,467,1780311008446700725,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311008647107021,468,1780311008646673366,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311008847717802,469,1780311008846714394,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311009047220901,470,1780311009046693806,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311009247262346,471,1780311009246667906,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311009447120037,472,1780311009446722111,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311009647067261,473,1780311009646666106,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311009847046933,474,1780311009846663487,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311010047281039,475,1780311010046681182,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311010249082992,476,1780311010246669396,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311010447198300,477,1780311010446734539,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311010647068282,478,1780311010646690097,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311010846980141,479,1780311010846658050,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311011047215288,480,1780311011046739079,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311011246967299,481,1780311011246647188,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311011447923400,482,1780311011446861137,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311011647065293,483,1780311011646662784,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311011849568773,484,1780311011847254502,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311012047124953,485,1780311012046701246,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311012247512239,486,1780311012246825036,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311012447097997,487,1780311012446677779,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311012648256863,488,1780311012647697110,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311012848882331,489,1780311012847921945,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311013047691456,490,1780311013046677579,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311013247818945,491,1780311013247382893,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311013447119904,492,1780311013446679269,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311013648001212,493,1780311013647516982,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311013847255347,494,1780311013846678407,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311014047055641,495,1780311014046677351,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311014246970208,496,1780311014246655930,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311014447039049,497,1780311014446665968,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311014648119996,498,1780311014647440137,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311014848232745,499,1780311014846692762,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311015047201874,500,1780311015046768895,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311015251926549,501,1780311015246661743,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311015446978559,502,1780311015446663708,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311015647497983,503,1780311015646725986,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311015846968946,504,1780311015846664981,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311016047172634,505,1780311016046858565,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311016247081316,506,1780311016246664640,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server
1780311016447157970,507,1780311016446698115,,1780310981351038494,/move_base-1-1780310981.351038494,1,This goal has been accepted by the simple action server,1780311016371579492,/move_base-2-1780311016.371579492,0,
1780311016554656699,508,1780311016553418599,,1780310981351038494,/move_base-1-1780310981.351038494,2,This goal was canceled because another goal was recieved by the simple action server,1780311016371579492,/move_base-2-1780311016.371579492,0,
1780311016557317228,509,1780311016553459068,,1780310981351038494,/move_base-1-1780310981.351038494,2,This goal was canceled because another goal was recieved by the simple action server,1780311016371579492,/move_base-2-1780311016.371579492,1,This goal has been accepted by the simple action server
1780311016647087068,510,1780311016646672423,,1780310981351038494,/move_base-1-1780310981.351038494,2,This goal was canceled because another goal was recieved by the simple action server,1780311016371579492,/move_base-2-1780311016.371579492,1,This goal has been accepted by the simple action server
1780311016847028563,511,1780311016846678190,,1780310981351038494,/move_base-1-1780310981.351038494,2,This goal was canceled because another goal was recieved by the simple action server,1780311016371579492,/move_base-2-1780311016.371579492,1,This goal has been accepted by the simple action server
1780311017047152353,512,1780311017046668540,,1780310981351038494,/move_base-1-1780310981.351038494,2,This goal was canceled because another goal was recieved by the simple action server,1780311016371579492,/move_base-2-1780311016.371579492,1,This goal has been accepted by the simple action server
1780311017252251516,513,1780311017248581121,,1780310981351038494,/move_base-1-1780310981.351038494,2,This goal was canceled because another goal was recieved by the simple action server,1780311016371579492,/move_base-2-1780311016.371579492,1,This goal has been accepted by the simple action server
1780311017447018415,514,1780311017446679241,,1780310981351038494,/move_base-1-1780310981.351038494,2,This goal was canceled because another goal was recieved by the simple action server,1780311016371579492,/move_base-2-1780311016.371579492,1,This goal has been accepted by the simple action server
